	place	lon	lat
271	橫濱元町商店街	35.4416881	139.6509705
272	濱離宮恩賜庭園	35.6597374	139.7634925
273	成田公園	35.7862013	140.319379
274	高尾山	35.6251209	139.2436593
275	竹下通	35.6714071	139.7039096
276	新日本庭園酒店	35.681059	139.734094
277	江之島	35.301279	139.4810007
278	蘆之湖	35.2095674	139.0034626
279	六義園	35.7328818	139.7461829
280	輕井澤	36.3482902	138.596955
281	秋葉原	35.7020691	139.7753269
282	神保町	35.6980801	139.7563143
283	小石川後樂園	35.7054498	139.7496667
284	三溪園	35.417967	139.661428
285	石森萬畫館	38.429673	141.310694
286	萬代博物館	36.4655139	139.8382075
287	東京大學	35.7126775	139.761989
288	赤坂離宮	35.6802887	139.72864
289	小田原城	35.25094929999999	139.1535136
290	日本橋	35.6804104	139.7716528
291	澀谷中央街	35.6575054	139.6966319
292	橫濱中華街	35.4423591	139.6463881
293	貓街	24.972563	121.535322
294	忠犬八公像	35.6590548	139.7005662
295	東京國立博物館	35.7188351	139.7765215
296	大先生大橋	35.4511766	139.6473228
297	原宿竹下通	35.6714071	139.7039096
298	根津神社	35.7202332	139.7607381
299	東京車站	35.681298	139.7662469
300	橫濱中華街巡禮	35.4423591	139.6463881
301	新橫濱拉麵博物館	35.509853	139.6145449
302	橫濱風華之夜	 	 
303	湘南海岸	35.31374150000001	139.4752678
304	鶴岡八幡宮	35.3260978	139.5564131
305	若宮大道	 	 
306	大室山	34.9031665	139.0944694
307	源平池	35.3238675	139.5553438
308	高德院	35.3166995	139.5361536
309	镰仓大佛	35.3166995	139.5361536
310	增上寺	35.6574236	139.7482079
311	建长寺	35.331782	139.555348
312	見長寺	33.9020607	132.1852275
313	鹤冈八幡宫	35.3260978	139.5564131
314	鶴岡八幡宮	35.3260978	139.5564131
315	淺草神社	35.7150822	139.7974552
316	東京大神宮	35.6999795	139.7468816
317	赤坂冰川神社	35.668325	139.735573
318	芝大神宮	35.657599	139.752996
319	今戶神社	35.7193061	139.803541
320	妙義神社	36.3005049	138.7623812
321	夫婦木神社	35.76741000000001	138.557156
322	白山神社	35.7219492	139.7505852
323	榛名神社	36.4585046	138.8522292
324	赤羽橋	35.6550022	139.7435434
325	築地本願寺	35.6664743	139.7723221
326	大宮八幡宮	35.682384	139.639738
327	日枝神社	35.6747103	139.7395557
328	明月寺	35.33486	139.551451
